"unit_id","title","question_text","answer","explanation"
"4級第5回","4級第5回","段落ごとの<u>ヨウシ</u>をまとめてみよう。","要旨","おもな内容"
"4級第5回","4級第5回","面談は十月の<u>ショジュン</u>に行われる。","初旬","月のはじめの十日間"
"4級第5回","4級第5回","生徒会で修学旅行中止の<u>ゼヒ</u>を論じる。","是非","正しいか正しくないか"
"4級第5回","4級第5回","銀行で<u>フツウ</u>預金の口座を作る。","普通","同じ種類の中でとくに変わっていないこと"
"4級第5回","4級第5回","<u>インレキ</u>では一月は睦月という。","陰暦","月の満ち欠けをもとにしたこよみ"
"4級第5回","4級第5回","<u>ドンテン</u>のもと体育祭が行われた。","曇天","くもり空"
"4級第5回","4級第5回","<u>シボウ</u>分の取りすぎに注意する。","脂肪","動植物のなかのあぶら"
"4級第5回","4級第5回","<u>ジュシ</u>加工をほどこしてあるタンス。","樹脂","木の幹からでる液がかたまったもの"
"4級第5回","4級第5回","我が家の犬は足が短く<u>ドウタイ</u>が長い。","胴体","からだの腹や胸の部分"
"4級第5回","4級第5回","不祥事発覚で大臣が<u>シッキャク</u>する。","失脚","地位をうしなうこと"
"4級第5回","4級第5回","受験勉強の仲間から<u>ダツラク</u>した。","脱落","ついていけずにぬけおちること"
"4級第5回","4級第5回","今こそ新首相の<u>シュワン</u>が試される時だ。","手腕","うでまえ・能力"
"4級第5回","4級第5回","彼は<u>モノゴシ</u>がやわらかい。","物腰","態度や言葉つき"
"4級第5回","4級第5回","<u>カタミ</u>のせまい思いをする。","肩身","面目"
"4級第5回","4級第5回","会社の再建に<u>フシン</u>する経営者。","腐心","こころをくだいて努力すること"
"4級第5回","4級第5回","急激な日焼けは<u>ヒフ</u>を痛める。","皮膚","人や動物の表面をおおっているかわ"
"4級第5回","4級第5回","『車輪の下』は<u>フキュウ</u>の名作だ。","不朽","後世までながく残ること"
"4級第5回","4級第5回","優勝の<u>シュクハイ</u>をあげる。","祝杯","いわいの酒を飲むさかずき"
"4級第5回","4級第5回","<u>エイコ</u>盛衰は世のならいである。","栄枯","さかえることとおとろえること"
"4級第5回","4級第5回","<u>ヒトガラ</u>の良さが際立つ。","人柄","ひとの性質"
"4級第5回","4級第5回","夢の<u>トウゲンキョウ</u>を描いた小説。","桃源郷","理想的な別世界"
"4級第5回","4級第5回","関連事項を<u>ランガイ</u>に書き込む。","欄外","本文のそとの余白"
"4級第5回","4級第5回","印鑑だけでなく<u>シュニク</u>も忘れずに。","朱肉","印鑑を押す時のしゅ色をしみこませたもの"
"4級第5回","4級第5回","妹は生まれつき<u>ニュウジャク</u>な体質だ。","柔弱","体質や性格がよわよわしいこと"
"4級第5回","4級第5回","うなぎの<u>ヨウショク</u>を始めて二十年になる。","養殖","人工的に育ててふやすこと"
"4級第5回","4級第5回","舞台の端に<u>ハツエン</u>装置をセットする。","発煙","けむりを出すこと"
