"unit_id","title","question_text","answer","explanation"
"4級第7回","4級第7回","<u>シガイセン</u>の浴びすぎでしみができる。","紫外線","太陽光線の中の一種"
"4級第7回","4級第7回","経済の発展は国家の<u>ハンエイ</u>につながる。","繁栄","発展して栄えること"
"4級第7回","4級第7回","<u>イッパン</u>市民として地方自治に参加する。","一般","ごくありふれている・ふつう"
"4級第7回","4級第7回","離れ島まで<u>シュウコウ</u>する便が出る港。","就航","船や飛行機が決まった航路につくこと"
"4級第7回","4級第7回","赤ちゃんの肌のやわらかい<u>カンショク</u>。","感触","手ざわり"
"4級第7回","4級第7回","被害者が<u>コクソ</u>を取り下げた。","告訴","被害者が犯罪を訴えること"
"4級第7回","4級第7回","警備員の<u>ツメショ</u>を増築する。","詰所","勤務のため待機しているところ"
"4級第7回","4級第7回","<u>コダイ</u>広告に惑わされてはいけない。","誇大","おおげさなようす"
"4級第7回","4級第7回","過去の裁判記録を<u>ショウサイ</u>に調べる。","詳細","くわしくこまかいようす"
"4級第7回","4級第7回","祖母は<u>ミンヨウ</u>教室に通っている。","民謡","郷土色を持つ歌"
"4級第7回","4級第7回","マラソン大会一位の<u>エイコウ</u>に輝いた。","栄光","ほめたたえられること"
"4級第7回","4級第7回","自動<u>ハンバイ</u>機でコーヒーを買った。","販売","ものを売ること"
"4級第7回","4級第7回","彼は<u>テンプ</u>の才にめぐまれた音楽家だ。","天賦","うまれつき与えられたもの"
"4級第7回","4級第7回","母校に蔵書を<u>キゾウ</u>する。","寄贈","ものを寄付すること"
"4級第7回","4級第7回","支点から作用点までの<u>キョリ</u>を測る。","距離","二つのものの間の長さ"
"4級第7回","4級第7回","推薦入学者は<u>ツイセキ</u>調査の対象となる。","追跡","その後どうなったかをたどること"
"4級第7回","4級第7回","<u>チョウバ</u>は彼女の得意種目だ。","跳馬","体操の種目の一つ"
"4級第7回","4級第7回","日本<u>ブヨウ</u>を習いに行く。","舞踊","おどり"
"4級第7回","4級第7回","先代社長の方針を<u>トウシュウ</u>する。","踏襲","これまでのやり方をそのまま受け継ぐこと"
"4級第7回","4級第7回","彼の話は<u>ヒヤク</u>しすぎるきらいがある。","飛躍","大きくとぶこと"
"4級第7回","4級第7回","この辺はアパートよりも<u>イッケンヤ</u>が多い。","一軒家","一つ建てのいえ"
"4級第7回","4級第7回","外国と自国の文化を<u>ヒカク</u>する。","比較","二つ以上のものをくらべること"
"4級第7回","4級第7回","新聞の<u>レンサイ</u>小説は毎朝の楽しみ。","連載","続き物としてのせること"
"4級第7回","4級第7回","<u>コウキ</u>ある伝統を持つ我が母校。","光輝","光り輝くこと"
"4級第7回","4級第7回","<u>コウハイ</u>に丁寧に指導する。","後輩","あとから入った人"
"4級第7回","4級第7回","不祥事について<u>シャクメイ</u>する。","釈明","事情を説明してわかってもらうこと"
