"unit_id","title","question_text","answer","explanation"
"4級第11回","4級第11回","新入部員の<u>カンゲイ</u>会を催す。","歓迎","喜んでむかえること"
"4級第11回","4級第11回","あまりの<u>キハク</u>に圧倒される。","気迫","激しい迫力"
"4級第11回","4級第11回","物事から<u>トウヒ</u>しても何も解決しない。","逃避","さけてにげること"
"4級第11回","4級第11回","この器具は<u>ヨウト</u>が広い。","用途","使い道"
"4級第11回","4級第11回","<u>トウメイ</u>な水晶玉。","透明","すきとおっていること"
"4級第11回","4級第11回","寝坊して学校に<u>チコク</u>した。","遅刻","時間におくれること"
"4級第11回","4級第11回","校則に<u>イハン</u>して注意を受けた。","違反","ルールをまもらないこと"
"4級第11回","4級第11回","重要な任務で<u>ハケン</u>される。","派遣","命じてある所へ行かせること"
"4級第11回","4級第11回","休みをずらして渋滞を<u>カイヒ</u>する。","回避","悪い結果になるものをさけること"
"4級第11回","4級第11回","それは明らかに<u>エッケン</u>行為だ。","越権","権限をこえること"
"4級第11回","4級第11回","私の<u>シュミ</u>は音楽鑑賞です。","趣味","たのしみとしてすること"
"4級第11回","4級第11回","実力が彼に<u>ヒッテキ</u>する選手はいない。","匹敵","対等なこと"
"4級第11回","4級第11回","今回の選挙では彼は当選<u>ケンガイ</u>だ。","圏外","ある範囲に入らないこと"
"4級第11回","4級第11回","小切手には「二」の代わりに「<u>ニ</u>」と書く。","弐","二の大字"
"4級第11回","4級第11回","<u>トウシ</u>満々な二人の対戦が始まる。","闘志","戦おうとする気持ち"
"4級第11回","4級第11回","体が<u>ジョウブ</u>なのが取り柄だ。","丈夫","すこやかなこと"
"4級第11回","4級第11回","<u>キュウヨ</u>明細書を受け取った。","給与","勤め人に払うお金"
"4級第11回","4級第11回","<u>サキュウ</u>に植物を育てる研究。","砂丘","砂の丘"
"4級第11回","4級第11回","<u>タンネン</u>に練られた計画。","丹念","念入りなこと"
"4級第11回","4級第11回","冬は肌が<u>カンソウ</u>しがちだ。","乾燥","かわくこと"
"4級第11回","4級第11回","ずいぶん<u>テンジョウ</u>が高い家だなあ。","天井","部屋の上に張った板"
"4級第11回","4級第11回","二人の実力はほぼ<u>ゴカク</u>だ。","互角","たがいに差がないこと"
"4級第11回","4級第11回","<u>ケンギョウ</u>農家が増えている。","兼業","仕事をいくつか兼ねていること"
"4級第11回","4級第11回","父は<u>ヘイボン</u>な人生を送った。","平凡","良くも悪くもなく普通なこと"
"4級第11回","4級第11回","おみくじで今年の<u>キッキョウ</u>をうらなう。","吉凶","縁起のよいことと悪いこと"
"4級第11回","4級第11回","<u>ドクセン</u>事業の自由化が進む。","独占","ひとりじめすること"
"4級第11回","4級第11回","携帯電話がずいぶん<u>フキュウ</u>した。","普及","広く行き渡ること"
