"unit_id","title","question_text","answer","explanation"
"4級第8回","4級第8回","朝から下腹部に<u>ドンツウ</u>をおぼえる。","鈍痛","重苦しいにぶいいたみ"
"4級第8回","4級第8回","マークシートは<u>エンピツ</u>で記入しよう。","鉛筆","筆記用具の一つ"
"4級第8回","4級第8回","全国から野球の<u>セイエイ</u>を集めた。","精鋭","すぐれている人"
"4級第8回","4級第8回","<u>サコク</u>政策は一八五四年まで続いた。","鎖国","外国との交流を禁止すること"
"4級第8回","4級第8回","物置にある古い鏡を<u>カンテイ</u>してもらう。","鑑定","真偽や価値を判断すること"
"4級第8回","4級第8回","新築家屋の室内<u>ソウショク</u>を考える。","装飾","かざること"
"4級第8回","4級第8回","彼女は校内美化運動の<u>センク</u>的存在だ。","先駆","人にさきがけて実行すること"
"4級第8回","4級第8回","車の<u>ソウオン</u>に悩む国道沿いの家。","騒音","うるさいと感じる音"
"4級第8回","4級第8回","はかりしれない宇宙の<u>キョウイ</u>。","驚異","おどろくほどすごいこと"
"4級第8回","4級第8回","祖母から<u>シンセン</u>な果物が送られてきた。","新鮮","生き生きしているようす"
"4級第8回","4級第8回","<u>イネカ</u>りの季節は家族全員で作業する。","稲刈り","稲を刈ること"
"4級第8回","4級第8回","現代芸術から<u>シゲキ</u>を受けた作品。","刺激","反応をおこさせるもの"
"4級第8回","4級第8回","会議の結果同じ結論に<u>トウタツ</u>した。","到達","ある目標などにたどりつくこと"
"4級第8回","4級第8回","五歳の時から<u>ケンドウ</u>を習っている。","剣道","竹刀を使って戦う武道"
"4級第8回","4級第8回","<u>ヤクザイ</u>を扱うためには免許が必要だ。","薬剤","薬として用いるもの"
"4級第8回","4級第8回","首相が外務大臣に辞任を<u>カンコク</u>した。","勧告","すすめること"
"4級第8回","4級第8回","後半戦は一気に<u>レッセイ</u>を挽回した。","劣勢","いきおいが劣っていること"
"4級第8回","4級第8回","気象庁が熱中症への<u>ケイカイ</u>を呼びかける。","警戒","注意して用心すること"
"4級第8回","4級第8回","有名小説が<u>ギキョク</u>化された。","戯曲","劇の形で書かれた文学作品"
"4級第8回","4級第8回","学級会での私の提案は<u>キャッカ</u>された。","却下","とりあげないこと"
"4級第8回","4級第8回","今日の議題は<u>ソッケツ</u>を要するものだ。","即決","その場ですぐきめること"
"4級第8回","4級第8回","明るい<u>シキサイ</u>の印象派絵画。","色彩","いろどり"
"4級第8回","4級第8回","初代校長の<u>エイゾウ</u>が壁にかかっている。","肖像","絵や写真に表された姿"
"4級第8回","4級第8回","<u>シンロウ</u>の友人として結婚式に出席する。","新郎","はなむこ"
"4級第8回","4級第8回","大学で教育心理学を<u>センコウ</u>する。","専攻","専門に研究すること"
"4級第8回","4級第8回","何事にも<u>キビン</u>に反応しよう。","機敏","すばやいようす"
